"filename", "language", "Dart", "Markdown", "Groovy", "Properties", "XML", "JSON", "Java", "YAML", "HTML", "C++", "Swift", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/lib/screens/home_old.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 7, 174
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/home.dart", "Dart", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 294
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/activity_bar_graph.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/activity_text_widgets.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 55
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/datebar.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/menu.dart", "Dart", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 121
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/score_widget.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/screen_time_widget.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/sleep_time_widgets.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/steps_widget.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/home/satendra/Workspace/campus health/project/cht/lib/screens/homepage/widgets/suggestions_widgets.dart", "Dart", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 81
"/home/satendra/Workspace/campus health/project/cht/lib/screens/info.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/home/satendra/Workspace/campus health/project/cht/lib/screens/report.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 2, 43
"/home/satendra/Workspace/campus health/project/cht/lib/screens/settingsScreen.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/home/satendra/Workspace/campus health/project/cht/lib/screens/sign_in.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 42
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/dataContainer.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/piechart/index.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/piechart/piechart.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/piechart/piechart_draw.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 56
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/progressBars/progressBar.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/progressBars/progressBarHorizontal.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/addOn/month_picker.dart", "Dart", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 294
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/drawer/homeDrawer.dart", "Dart", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 238
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/report/reportWidget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 428, 6, 434
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/trash.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/home/satendra/Workspace/campus health/project/cht/lib/services/AuthService.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 20, 145
"/home/satendra/Workspace/campus health/project/cht/lib/services/DatabaseService.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 59
"/home/satendra/Workspace/campus health/project/cht/lib/services/ReportService.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 15, 165
"/home/satendra/Workspace/campus health/project/cht/lib/services/channels.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 38
"/home/satendra/Workspace/campus health/project/cht/lib/services/syncService.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
