"filename", "language", "YAML", "Dart", "HTML", "C++", "XML", "Swift", "JSON", "Markdown", "Groovy", "Properties", "Java", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/piechart/index.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/piechart/piechart.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/piechart/piechart_draw.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 56
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/progressBars/progressBar.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/progressBars/progressBarHorizontal.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/addOn/month_picker.dart", "Dart", 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 294
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/drawer/homeDrawer.dart", "Dart", 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 238
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/report/reportWidget.dart", "Dart", 0, 409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 433
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/trash.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/home/satendra/Workspace/campus health/project/cht/lib/services/AuthService.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 84
"/home/satendra/Workspace/campus health/project/cht/lib/services/DatabaseService.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 59
"/home/satendra/Workspace/campus health/project/cht/lib/services/ReportService.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 15, 165
"/home/satendra/Workspace/campus health/project/cht/lib/services/syncService.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/satendra/Workspace/campus health/project/cht/lib/test/randGen.dart", "Dart", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 164
"/home/satendra/Workspace/campus health/project/cht/lib/test/widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/home/satendra/Workspace/campus health/project/cht/lib/util/colorConstants.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/home/satendra/Workspace/campus health/project/cht/lib/util/constants.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/satendra/Workspace/campus health/project/cht/lib/util/theme.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/home/satendra/Workspace/campus health/project/cht/lib/util/ui_helper.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"/home/satendra/Workspace/campus health/project/cht/pubspec.yaml", "YAML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 17, 93
"/home/satendra/Workspace/campus health/project/cht/web/index.html", "HTML", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 68
"/home/satendra/Workspace/campus health/project/cht/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 32, 2444, 43, 1, 5335, 12, 260, 13, 95, 8, 644, 423, 347, 9657
